R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Islam Makhachev;Alexander Volkanovski;1;0;24 of 29;4 of 6;82%;66%;39 of 46;11 of 18;0 of 1;0 of 0;0%;---;0;0;0;0;0:19;0:49;13 of 16;0 of 1;9 of 11;1 of 1;2 of 2;3 of 4;7 of 11;3 of 5;8 of 9;1 of 1;9 of 9;0 of 0;KO/TKO;1;3:06;5 Rnd (5-5-5-5-5);Marc Goddard;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;UFC Lightweight Title Bout;Islam Makhachev
Mohammad Yahya;Trevor Peek;0;0;43 of 92;61 of 97;46%;62%;47 of 96;83 of 123;1 of 1;4 of 7;100%;57%;1;0;0;0;0:24;5:10;28 of 70;32 of 61;14 of 21;16 of 23;1 of 1;13 of 13;41 of 90;50 of 83;2 of 2;6 of 9;0 of 0;5 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Daniel Movahedi;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Trevor Peek
Abu Azaitar;Sedriques Dumas;0;0;41 of 106;34 of 79;38%;43%;87 of 153;72 of 117;2 of 4;1 of 2;50%;50%;0;0;0;0;0:32;4:10;21 of 78;11 of 45;13 of 18;5 of 11;7 of 10;18 of 23;31 of 90;31 of 76;3 of 6;0 of 0;7 of 10;3 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Sedriques Dumas
Viktoriia Dudakova;Jinh Yu Frey;1;0;74 of 146;47 of 101;50%;46%;109 of 183;65 of 121;0 of 3;1 of 3;0%;33%;0;0;0;0;0:18;4:40;47 of 115;31 of 80;26 of 30;8 of 13;1 of 1;8 of 8;60 of 131;37 of 89;14 of 15;3 of 4;0 of 0;7 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Daniel Movahedi;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Strawweight Bout;Viktoriia Dudakova
Mike Breeden;Anshul Jubli;1;0;92 of 177;103 of 194;51%;53%;94 of 181;104 of 195;0 of 1;0 of 5;0%;0%;0;0;0;0;0:01;0:05;75 of 157;63 of 145;11 of 13;27 of 36;6 of 7;13 of 13;89 of 174;97 of 181;2 of 2;6 of 13;1 of 1;0 of 0;KO/TKO;3;3:00;3 Rnd (5-5-5);Marc Goddard;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Mike Breeden
Nathaniel Wood;Muhammad Naimov;0;0;50 of 72;48 of 81;69%;59%;70 of 94;100 of 140;2 of 7;4 of 9;28%;44%;0;0;0;1;2:44;6:42;37 of 57;31 of 60;6 of 7;10 of 13;7 of 8;7 of 8;36 of 56;24 of 48;5 of 6;11 of 14;9 of 10;13 of 19;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Featherweight Bout;Muhammad Naimov
Kamaru Usman;Khamzat Chimaev;0;0;36 of 66;38 of 70;54%;54%;58 of 92;107 of 143;0 of 1;4 of 12;0%;33%;0;1;0;0;0:04;7:16;27 of 52;27 of 53;6 of 10;3 of 9;3 of 4;8 of 8;33 of 63;22 of 53;1 of 1;0 of 0;2 of 2;16 of 17;Decision - Majority;3;5:00;3 Rnd (5-5-5);Jason Herzog;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Khamzat Chimaev
Shara Magomedov;Bruno Silva;0;0;113 of 154;65 of 91;73%;71%;222 of 274;107 of 138;0 of 0;3 of 7;---;42%;0;0;0;0;0:00;6:44;56 of 92;51 of 76;22 of 24;6 of 7;35 of 38;8 of 8;74 of 106;35 of 56;15 of 21;5 of 5;24 of 27;25 of 30;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Shara Magomedov
Loopy Godinez;Elise Reed;1;0;21 of 31;3 of 13;67%;23%;37 of 51;34 of 48;5 of 5;0 of 1;100%;0%;6;0;0;0;6:29;0:22;15 of 25;0 of 6;4 of 4;2 of 3;2 of 2;1 of 4;15 of 24;3 of 12;3 of 3;0 of 0;3 of 4;0 of 1;Submission;2;3:38;3 Rnd (5-5-5);Herb Dean;September 16, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Loopy Godinez
Edgar Chairez;Daniel Lacerda;0;0;12 of 20;4 of 14;60%;28%;12 of 20;8 of 18;0 of 0;1 of 2;---;50%;1;0;0;0;0:14;1:19;0 of 6;1 of 8;2 of 3;1 of 3;10 of 11;2 of 3;12 of 20;3 of 12;0 of 0;0 of 0;0 of 0;1 of 2;Overturned;1;3:47;3 Rnd (5-5-5);Chris Tognoni;September 16, 2023;Las Vegas, Nevada, USA;Flyweight Bout;
Raul Rosas Jr.;Terrence Mitchell;1;0;18 of 30;6 of 19;60%;31%;19 of 31;6 of 19;0 of 0;0 of 0;---;---;0;0;0;0;0:17;0:00;17 of 29;5 of 18;1 of 1;1 of 1;0 of 0;0 of 0;6 of 11;6 of 19;1 of 2;0 of 0;11 of 17;0 of 0;KO/TKO;1;0:54;3 Rnd (5-5-5);Mark Smith;September 16, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Raul Rosas Jr.
Fernando Padilla;Kyle Nelson;0;0;72 of 208;82 of 184;34%;44%;73 of 209;83 of 185;0 of 1;0 of 3;0%;0%;0;0;0;0;0:07;0:00;42 of 168;43 of 143;17 of 22;19 of 20;13 of 18;20 of 21;65 of 198;80 of 176;7 of 10;2 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;September 16, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Kyle Nelson
Roman Kopylov;Josh Fremd;1;0;49 of 84;38 of 116;58%;32%;54 of 90;38 of 116;0 of 0;0 of 5;---;0%;0;0;0;0;0:03;0:50;23 of 56;18 of 81;9 of 10;8 of 13;17 of 18;12 of 22;47 of 80;37 of 115;2 of 4;1 of 1;0 of 0;0 of 0;KO/TKO;2;4:44;3 Rnd (5-5-5);Mark Smith;September 16, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Roman Kopylov
Daniel Zellhuber;Christos Giagos;0;0;36 of 101;38 of 82;35%;46%;36 of 101;38 of 82;0 of 0;0 of 6;---;0%;1;0;0;0;0:17;0:11;18 of 75;25 of 63;11 of 19;3 of 7;7 of 7;10 of 12;35 of 100;36 of 79;1 of 1;2 of 3;0 of 0;0 of 0;Submission;2;3:26;3 Rnd (5-5-5);Jason Herzog;September 16, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Daniel Zellhuber
Alexa Grasso;Valentina Shevchenko;1;0;84 of 203;80 of 179;41%;44%;262 of 408;199 of 301;1 of 2;4 of 7;50%;57%;1;1;1;0;2:39;8:37;54 of 151;61 of 158;12 of 22;6 of 8;18 of 30;13 of 13;51 of 160;67 of 158;31 of 35;6 of 8;2 of 8;7 of 13;Decision - Split;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;September 16, 2023;Las Vegas, Nevada, USA;UFC Women's Flyweight Title Bout;
Kevin Holland;Jack Della Maddalena;0;0;127 of 356;105 of 190;35%;55%;127 of 356;105 of 190;0 of 2;0 of 0;0%;---;0;0;0;0;0:00;0:00;59 of 258;46 of 115;33 of 55;36 of 49;35 of 43;23 of 26;119 of 346;94 of 175;8 of 10;11 of 15;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;September 16, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Jack Della Maddalena
Alex Reyes;Charlie Campbell;0;1;14 of 38;43 of 72;36%;59%;15 of 39;43 of 72;0 of 2;0 of 0;0%;---;0;0;0;0;0:01;0:02;8 of 30;27 of 53;2 of 4;10 of 13;4 of 4;6 of 6;12 of 32;35 of 60;2 of 6;7 of 10;0 of 0;1 of 2;KO/TKO;1;3:38;3 Rnd (5-5-5);Mark Smith;September 16, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Charlie Campbell
Josefine Knutsson;Marnic Mann;0;0;81 of 128;8 of 29;63%;27%;147 of 206;39 of 64;3 of 4;0 of 2;75%;0%;0;0;0;0;10:49;0:33;53 of 97;6 of 20;20 of 23;0 of 6;8 of 8;2 of 3;38 of 69;8 of 29;8 of 11;0 of 0;35 of 48;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;September 16, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Josefine Knutsson
Tracy Cortez;Jasmine Jasudavicius;0;0;103 of 212;77 of 206;48%;37%;116 of 225;95 of 225;0 of 1;2 of 10;0%;20%;0;0;0;0;0:26;3:00;63 of 164;43 of 148;16 of 23;25 of 47;24 of 25;9 of 11;91 of 198;58 of 176;12 of 14;19 of 30;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;September 16, 2023;Las Vegas, Nevada, USA;Women's Flyweight Bout;Tracy Cortez
