fighter,Weight Division,Gender,Image URL
Alex Nicholson,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/alex-nicholson_575996_LeftFullBodyImage.png?itok=r2Yzemq9
Alex Oliveira,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-04/67204%252Fprofile-galery%252Ffullbodyleft-picture%252FOLIVEIRA_ALEX_L_04-24.png?itok=OOEWWAXe
Alex Oliveira,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-04/67204%252Fprofile-galery%252Ffullbodyleft-picture%252FOLIVEIRA_ALEX_L_04-24.png?itok=OOEWWAXe
Alex Pereira,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/PEREIRA_ALEX_L_BELT_04-08.png?itok=-m53j6rb
Alex Pereira,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/PEREIRA_ALEX_L_BELT_04-08.png?itok=-m53j6rb
Alex Perez,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/PEREZ_ALEX_L_03-25.png?itok=B0lCXp2Q
Alex Perez,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/PEREZ_ALEX_L_03-25.png?itok=B0lCXp2Q
Alex Reyes,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/REYES_ALEX_L_09-16.png?itok=-ehfrGRR
Alex Reyes,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/REYES_ALEX_L_09-16.png?itok=-ehfrGRR
Alex Ricci,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alex Schoenauer,185,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alex Soto,135,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alex Torres,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/alexander-torres_498768_LeftFullBodyImage.png?itok=eXNb2Gpi
