fighter,Knockdown,Significant_Strike_Percent,Takedown_Percent,Submission_Attempt,Ground_Control,win_by,No_of_rounds,Weight Division,Significant_Strikes_Landed,Significant_Strikes_Attempted,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Ground_Strikes_Landed,time_fought,Gender
Josh Clopton,-0.4416008872909758,0.5027334097359043,0.1841032781007363,-0.4646354552386844,1.1328341142435105,-0.14231638072945405,-0.31285623842751903,-0.6189308905810521,-0.40054076435066477,-0.6501627423932062,0.3582278501254446,-0.2122963319255991,0.5483139535892989,0.039965782818538076,-0.10913326713288396,0.7258060576026923,0.33839851745954763
Josh Copeland,-0.4416008872909758,-0.9162012460915843,-0.753475034082875,-0.4646354552386844,-0.7390685282097105,0.4524843779651775,-0.31285623842751903,2.537396458253727,-0.6979231708080429,-0.5290207644748794,-0.8014582846707146,-0.6732933335039983,-0.6315529925791449,-0.7621813411717269,-0.5537467466400072,0.5760891270632372,0.33839851745954763
Josh Culibao,0.8951576140689285,-0.3526527303019434,-0.753475034082875,-0.06717278401724647,-0.4585693554873623,-0.9353840589889627,-0.31285623842751903,-0.6189308905810521,-0.21272029711442597,-0.16321949781954048,-0.2974116966710767,-0.2421757672130879,-0.6315529925791449,-0.5839264247294458,-0.3684911301787059,0.28404869465294197,0.33839851745954763
Josh Emmett,0.2267783633889763,-0.9162012460915842,-0.5167128340365085,-0.4646354552386844,-0.42231436037358944,0.2542174584003003,2.0266187686687904,-0.6189308905810521,0.006403581327852681,0.5588817038897003,-0.2898320487312325,0.3426074662706223,-0.4349085015510709,-0.4056715082871647,-0.25733776030192507,0.2415364798084053,0.33839851745954763
Josh Ferguson,-0.4416008872909758,-0.07087847240712297,-0.5830062500494911,-0.4646354552386844,0.7492944290925447,-0.14231638072945405,-0.31285623842751903,-0.881958169650617,-0.30663053073254537,-0.30811480474146047,-0.3012015206409988,-0.30833737392109895,-0.3365862560370339,0.4410393448136706,-0.2758633219480552,0.3404235882511319,0.33839851745954763
Josh Fremd,-0.4416008872909758,-0.23189233406130605,0.19357376610259083,1.1252152296470672,0.6672436506771641,0.2542174584003003,-0.31285623842751903,0.43317822569720765,-0.08750665229026677,0.03630846581064445,-0.14581873787419317,-0.03301972020066605,-0.23826401052299695,0.1290932410396786,-0.3684911301787059,0.045610620090106045,0.33839851745954763
Josh Grispi,-0.4416008872909758,-0.21176560135453315,0.4776884061582307,0.33028988720419133,-0.16471307930204526,0.2542174584003003,-0.31285623842751903,-0.6189308905810521,-0.9013953436473017,-0.8805700337280625,-0.9341021236179876,-0.9806246678895979,0.35166946256122494,-0.13828913362374304,-0.4055422534709661,-0.02370277367816026,0.33839851745954763
Josh Haynes,0.2267783633889763,-1.2382289693999502,-0.36518502600683395,-0.4646354552386844,-0.29065148338146685,0.6507512975300547,-0.31285623842751903,0.9592327838363376,-0.7344438172150892,-0.338994132446132,-0.7673498689414157,-0.4556003049808653,-0.23826401052299692,0.2182206992608192,-0.22028663700966478,0.0040225838291462574,0.33839851745954763
Josh Hendricks,-0.4416008872909758,-1.5200032272947708,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,1.047285136659809,-0.31285623842751903,2.537396458253727,-1.12051922208958,-1.1133526579632782,-1.1084340262344037,-1.1983176964127307,-0.6315529925791449,-0.7621813411717269,-0.5537467466400072,-1.6003514372603236,0.33839851745954763
Josh Koscheck,-0.4416008872909758,-1.3388626329338147,-0.6019472260532005,-0.4646354552386844,-0.12654992655070538,0.2542174584003003,-0.31285623842751903,0.03863730709286026,-0.9848711068634078,-0.8235620441194382,-0.9795800112570526,-0.9165973065592645,-0.4349085015510709,0.039965782818538055,-0.5537467466400072,-0.7538038547038983,0.33839851745954763
Josh Neer,-0.4416008872909758,-0.8155675825577197,-0.753475034082875,-0.4646354552386844,-0.7047216907335044,0.2542174584003003,-0.31285623842751903,0.03863730709286026,-0.29619606033053214,-0.29623814023966377,-0.41110641576873935,-0.39157294365053213,-0.6315529925791449,-0.5839264247294458,-0.5537467466400072,-0.6225704958359808,0.33839851745954763
Josh Parisian,-0.4416008872909758,-0.010498274286804313,0.43033596614895736,-0.4646354552386844,-0.24485570007985902,0.2542174584003003,-0.31285623842751903,2.537396458253727,-0.056203241084226974,-0.034951521200135886,0.11946894002035306,0.19321028983317798,0.15502497153315098,-0.2274165918448836,0.11317347262067767,-0.2584441339066887,0.33839851745954763
Josh Quinlan,-0.4416008872909758,-0.3727794630087162,-0.41253746601610725,-0.4646354552386844,-0.45856935548736233,-0.14231638072945405,-0.31285623842751903,0.03863730709286026,0.41334792700637,0.639643022501918,-0.10792049817497226,0.31272803098313334,-0.041619519494922944,1.3768776561356464,-0.3314400068864456,0.7258060576026923,0.33839851745954763
Josh Rafferty,-0.4416008872909758,-0.7350606517306282,-0.753475034082875,0.7277525584256294,-0.7676908927732153,1.047285136659809,-0.31285623842751903,0.03863730709286026,-1.12051922208958,-1.1418566527675904,-1.1993898015125337,-1.2751505300091306,-0.6315529925791449,-0.49479896650830524,-0.5537467466400072,-1.4922225429818283,0.33839851745954763
